round,k,threshold,f1,precision,recall
35,10,0.2122122122122122,0.6666666666666666,0.5,1.0
36,1,0.002002002002002002,0.6666666666666666,0.5,1.0
36,3,0.13813813813813813,0.6666666666666666,0.5,1.0
36,5,0.15715715715715717,0.6666666666666666,0.5,1.0
36,10,0.2122122122122122,0.6666666666666666,0.5,1.0
37,1,0.002002002002002002,0.6666666666666666,0.5,1.0
37,3,0.13813813813813813,0.6666666666666666,0.5,1.0
37,5,0.17717717717717718,0.6666666666666666,0.5,1.0
37,10,0.2122122122122122,0.6666666666666666,0.5,1.0
38,1,0.002002002002002002,0.6666666666666666,0.5,1.0
38,3,0.13813813813813813,0.6666666666666666,0.5,1.0
38,5,0.17717717717717718,0.6666666666666666,0.5,1.0
38,10,0.2122122122122122,0.6666666666666666,0.5,1.0
39,1,0.002002002002002002,0.6666666666666666,0.5,1.0
39,3,0.13813813813813813,0.6666666666666666,0.5,1.0
39,5,0.17717717717717718,0.6666666666666666,0.5,1.0
39,10,0.2122122122122122,0.6666666666666666,0.5,1.0
40,1,0.002002002002002002,0.6666666666666666,0.5,1.0
40,3,0.13813813813813813,0.6666666666666666,0.5,1.0
40,5,0.15715715715715717,0.6666666666666666,0.5,1.0
40,10,0.2122122122122122,0.6666666666666666,0.5,1.0
41,1,0.002002002002002002,0.6666666666666666,0.5,1.0
41,3,0.13813813813813813,0.6666666666666666,0.5,1.0
41,5,0.15715715715715717,0.6666666666666666,0.5,1.0
41,10,0.2122122122122122,0.6666666666666666,0.5,1.0
42,1,0.002002002002002002,0.6666666666666666,0.5,1.0
42,3,0.13813813813813813,0.6666666666666666,0.5,1.0
42,5,0.15715715715715717,0.6666666666666666,0.5,1.0
42,10,0.2122122122122122,0.6666666666666666,0.5,1.0
43,1,0.002002002002002002,0.6666666666666666,0.5,1.0
43,3,0.13813813813813813,0.6666666666666666,0.5,1.0
43,5,0.17717717717717718,0.6666666666666666,0.5,1.0
43,10,0.2122122122122122,0.6666666666666666,0.5,1.0
44,1,0.002002002002002002,0.6666666666666666,0.5,1.0
44,3,0.13813813813813813,0.6666666666666666,0.5,1.0
44,5,0.17717717717717718,0.6666666666666666,0.5,1.0
44,10,0.2122122122122122,0.6666666666666666,0.5,1.0
45,1,0.002002002002002002,0.6666666666666666,0.5,1.0
45,3,0.13813813813813813,0.6666666666666666,0.5,1.0
45,5,0.17717717717717718,0.6666666666666666,0.5,1.0
45,10,0.21621621621621623,0.6666666666666666,0.5,1.0
46,1,0.002002002002002002,0.6666666666666666,0.5,1.0
46,3,0.13813813813813813,0.6666666666666666,0.5,1.0
46,5,0.15715715715715717,0.6666666666666666,0.5,1.0
46,10,0.21621621621621623,0.6666666666666666,0.5,1.0
47,1,0.002002002002002002,0.6666666666666666,0.5,1.0
47,3,0.13813813813813813,0.6666666666666666,0.5,1.0
47,5,0.15715715715715717,0.6666666666666666,0.5,1.0
47,10,0.2122122122122122,0.6666666666666666,0.5,1.0
48,1,0.002002002002002002,0.6666666666666666,0.5,1.0
48,3,0.13813813813813813,0.6666666666666666,0.5,1.0
48,5,0.17717717717717718,0.6666666666666666,0.5,1.0
48,10,0.2122122122122122,0.6666666666666666,0.5,1.0
49,1,0.002002002002002002,0.6666666666666666,0.5,1.0
49,3,0.13813813813813813,0.6666666666666666,0.5,1.0
49,5,0.17717717717717718,0.6666666666666666,0.5,1.0
49,10,0.2122122122122122,0.6666666666666666,0.5,1.0
50,1,0.002002002002002002,0.6666666666666666,0.5,1.0
50,3,0.13813813813813813,0.6666666666666666,0.5,1.0
50,5,0.15715715715715717,0.6666666666666666,0.5,1.0
50,10,0.2122122122122122,0.6666666666666666,0.5,1.0
